n,identical_prime_pair,propE_base,propO_base,propI_base,propE_altA,propO_altA,propI_altA,propE_altB,propO_altB,propI_altB,propE_altC,propO_altC,propI_altC,collatz_steps,collatz_max,divergence_ratio,time_to_peak_ratio,log_n,mod3,mod4,mod6,mod12,mod30,center_distance_base,center_distance_altA,center_distance_altB,center_distance_altC,mag_bin,near_center
6142,0,0.2838709677419355,0.23870967741935484,0.4774193548387097,0.2838709677419355,0.2967741935483871,0.41935483870967744,0.012903225806451613,0.2,0.7870967741935484,0.27741935483870966,0.24516129032258063,0.4774193548387097,155,1276936,207.90231195050472,0.2838709677419355,8.722905701000768,1,2,4,10,22,0.04762846148462386,0.12700012700019048,0.40601615177808215,0.05531105870800723,5001-10000,1
6144,0,0.0,0.0,1.0,0.0,0.0,1.0,0.05555555555555555,0.16666666666666666,0.7777777777777778,0.16666666666666666,0.0,0.8333333333333334,18,6144,1.0,0.0,8.723231274827508,0,0,0,0,24,0.6164414002968976,0.6164414002968976,0.3715167443844553,0.4109609335312651,5001-10000,0
6146,0,0.6936936936936937,0.009009009009009009,0.2972972972972973,0.6936936936936937,0.0,0.3063063063063063,0.05405405405405406,0.36036036036036034,0.5855855855855856,0.02702702702702703,0.0,0.972972972972973,111,9232,1.502115196876017,0.6936936936936937,8.72355674269043,2,2,2,2,26,0.48224544453720347,0.4821949516854053,0.30582633300973017,0.5815648520471265,5001-10000,0
6148,0,0.7806451612903226,0.0064516129032258064,0.2129032258064516,0.7806451612903226,0.0,0.21935483870967742,0.03225806451612903,0.3870967741935484,0.5806451612903226,0.7741935483870968,0.0,0.22580645161290322,155,9232,1.5016265452179571,0.7806451612903226,8.723882104658486,1,0,4,4,28,0.5923726082221428,0.5914232643610423,0.3364440354201915,0.583130880085297,5001-10000,0
6150,0,0.025806451612903226,0.012903225806451613,0.9612903225806452,0.025806451612903226,0.7548387096774194,0.21935483870967742,0.01935483870967742,0.2838709677419355,0.6967741935483871,0.01935483870967742,0.0,0.9806451612903225,155,13840,2.2504065040650407,0.025806451612903226,8.724207360800564,0,2,0,6,0,0.5683098332752078,0.6795511770935888,0.3528684302006317,0.5914232643610423,5001-10000,0
6152,0,0.0,0.0,1.0,0.0,0.0,1.0,0.027777777777777776,0.2777777777777778,0.6944444444444444,0.08333333333333333,0.0,0.9166666666666666,36,6152,1.0,0.0,8.72453251118548,2,0,2,8,2,0.6164414002968976,0.6164414002968976,0.34345736702386065,0.5104464277037851,5001-10000,0
6154,0,0.05555555555555555,0.027777777777777776,0.9166666666666666,0.05555555555555555,0.0,0.9444444444444444,0.05555555555555555,0.19444444444444445,0.75,0.08333333333333333,0.0,0.9166666666666666,36,9232,1.5001624959376016,0.05555555555555555,8.724857555881988,1,2,4,10,4,0.5128593290153008,0.5452375176171244,0.349691221819027,0.5104464277037851,5001-10000,0
6156,0,0.1388888888888889,0.027777777777777776,0.8333333333333334,0.1388888888888889,0.0,0.8611111111111112,0.08333333333333333,0.2222222222222222,0.6944444444444444,0.08333333333333333,0.0,0.9166666666666666,36,6928,1.1254061078622482,0.1388888888888889,8.72518249495877,0,0,0,0,6,0.408323885000288,0.44312303561353933,0.29197074096602027,0.5104464277037851,5001-10000,0
6158,1,0.03870967741935484,0.012903225806451613,0.9483870967741935,0.03870967741935484,0.7419354838709677,0.21935483870967742,0.01935483870967742,0.22580645161290322,0.7548387096774194,0.04516129032258064,0.0064516129032258064,0.9483870967741935,155,20788,3.375771354335823,0.03870967741935484,8.725507328484445,2,2,2,2,8,0.5516600621229701,0.6638737891409999,0.3799611130768152,0.5508672568336266,5001-10000,0
6160,0,0.0,0.0,1.0,0.0,0.0,1.0,0.027777777777777776,0.19444444444444445,0.7777777777777778,0.08333333333333333,0.0,0.9166666666666666,36,6160,1.0,0.0,8.725832056527565,1,0,4,4,10,0.6164414002968976,0.6164414002968976,0.3889682458714288,0.5104464277037851,5001-10000,0
