n,collatz_steps,collatz_max,divergence_ratio,oscillation_count,time_to_peak_ratio,frac_up,mean_run_up,std_run_up,mean_run_down,std_run_down,prop_exploration,prop_optimization,prop_integration,identical_prime_pair,center_distance,symmetry_score,gravitational_pull
160,10,160,1.0,2,0.0,0.1,1.0,0.0,4.5,0.5,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
162,23,244,1.5061728395061729,12,0.08695652173913043,0.2608695652173913,1.0,0.0,2.4285714285714284,1.498298354528788,0.08695652173913043,0.043478260869565216,0.8695652173913043,0,0.45438422987091825,0.17391304347826086,0.5410026139914953
164,111,9232,56.292682926829265,80,0.6936936936936937,0.36036036036036034,1.0,0.0,1.7317073170731707,1.0365136273597941,0.6936936936936937,0.12612612612612611,0.18018018018018017,0,0.5125785704113068,0.43243243243243246,0.48221745281608386
166,111,9232,55.6144578313253,80,0.6936936936936937,0.36036036036036034,1.0,0.0,1.7317073170731707,1.0597834625561187,0.6936936936936937,0.12612612612612611,0.18018018018018017,1,0.5125785704113068,0.43243243243243246,0.48221745281608386
168,10,168,1.0,2,0.0,0.1,1.0,0.0,4.5,1.5,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
170,10,256,1.5058823529411764,2,0.2,0.1,1.0,0.0,4.5,3.5,0.2,0.1,0.7,0,0.24494897427831777,0.4,0.7525641703473033
172,31,196,1.1395348837209303,18,0.16129032258064516,0.2903225806451613,1.0,0.0,2.2,1.0770329614269007,0.16129032258064516,0.03225806451612903,0.8064516129032258,0,0.37588604999473596,0.22580645161290325,0.620297750136138
174,31,592,3.4022988505747125,18,0.1935483870967742,0.2903225806451613,1.0,0.0,2.2,1.3266499161421599,0.1935483870967742,0.06451612903225806,0.7419354838709677,0,0.2970195339333447,0.32258064516129026,0.6999649620155202
176,18,176,1.0,8,0.0,0.2222222222222222,1.0,0.0,2.8,1.16619037896906,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
178,31,304,1.7078651685393258,18,0.22580645161290322,0.2903225806451613,1.0,0.0,2.2,1.16619037896906,0.22580645161290322,0.03225806451612903,0.7419354838709677,1,0.30360305976393404,0.29032258064516125,0.6933145966456251
180,18,180,1.0,8,0.0,0.2222222222222222,1.0,0.0,2.8,0.7483314773547882,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
