split,model_id,n,steps,pred,residual
train,12,224,21.0,27.609750762188927,-6.609750762188927
train,12,226,13.0,55.15811043389883,-42.15811043389883
train,12,228,34.0,46.31579082150281,-12.315790821502809
train,12,230,34.0,54.40504789629696,-20.405047896296963
train,12,232,21.0,40.06381344335097,-19.063813443350973
train,12,234,21.0,54.40191154677285,-33.40191154677285
train,12,236,34.0,47.09492261375957,-13.094922613759572
train,12,238,34.0,55.723287279083564,-21.723287279083564
train,12,240,21.0,33.89658807539341,-12.89658807539341
train,12,242,96.0,54.96064130716713,41.03935869283287
train,12,244,21.0,47.094881792194336,-26.094881792194336
train,12,246,47.0,54.94824117434589,-7.948241174345888
train,12,248,109.0,41.40438371901677,67.59561628098322
train,12,250,109.0,56.26065704082853,52.73934295917147
train,12,252,109.0,47.46546840812687,61.53453159187313
train,12,254,47.0,55.489340403096634,-8.489340403096634
train,12,256,8.0,-1.5942443397336385,9.594244339733638
train,12,258,122.0,55.46854502237059,66.53145497762941
train,12,260,29.0,48.20745485249765,-19.207454852497648
train,12,262,29.0,56.77282813895333,-27.77282813895333
train,12,264,29.0,41.54809300116495,-12.54809300116495
train,12,266,29.0,55.993629125220636,-26.993629125220636
train,12,268,29.0,48.172595548631875,-19.172595548631875
train,12,270,42.0,55.96519035373431,-13.965190353734307
train,12,272,16.0,36.10032588414225,-20.10032588414225
train,12,274,91.0,57.26205835664461,33.73794164335539
train,12,276,16.0,48.510478402050204,-32.510478402050204
train,12,278,42.0,56.475662428592756,-14.475662428592756
train,12,280,16.0,42.224004935439325,-26.224004935439325
train,12,282,16.0,56.44023544909682,-40.44023544909682
train,12,284,104.0,49.22168870256184,54.77831129743816
train,12,286,104.0,57.73031500015065,46.26968499984935
train,12,288,24.0,29.53919061434436,-5.53919061434436
train,12,290,117.0,56.937321930859525,60.062678069140475
train,12,292,117.0,49.15781522501179,67.84218477498821
train,12,294,117.0,56.89548114475133,60.10451885524867
train,12,296,24.0,43.4368201724413,-19.4368201724413
train,12,298,24.0,58.179322685186854,-34.179322685186854
train,12,300,16.0,49.46829868839953,-33.46829868839953
train,12,302,16.0,57.380260270418894,-41.380260270418894
train,12,304,24.0,36.6120306049415,-12.612030604941502
train,12,306,37.0,57.33251205369576,-20.33251205369576
train,12,308,24.0,50.153593154288444,-26.153593154288444
train,12,310,86.0,58.61060168361352,27.389398316386483
