start_value,sequence_length,max_value,sequence
8542,172,43252,"[8542, 4271, 12814, 6407, 19222, 9611, 28834, 14417, 43252, 21626, 10813, 32440, 16220, 8110, 4055, 12166, 6083, 18250, 9125, 27376, 13688, 6844, 3422, 1711, 5134, 2567, 7702, 3851, 11554, 5777, 17332, 8666, 4333, 13000, 6500, 3250, 1625, 4876, 2438, 1219, 3658, 1829, 5488, 2744, 1372, 686, 343, 1030, 515, 1546, 773, 2320, 1160, 580, 290, 145, 436, 218, 109, 328, 164, 82, 41, 124, 62, 31, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890]"
8543,172,129760,"[8543, 25630, 12815, 38446, 19223, 57670, 28835, 86506, 43253, 129760, 64880, 32440, 16220, 8110, 4055, 12166, 6083, 18250, 9125, 27376, 13688, 6844, 3422, 1711, 5134, 2567, 7702, 3851, 11554, 5777, 17332, 8666, 4333, 13000, 6500, 3250, 1625, 4876, 2438, 1219, 3658, 1829, 5488, 2744, 1372, 686, 343, 1030, 515, 1546, 773, 2320, 1160, 580, 290, 145, 436, 218, 109, 328, 164, 82, 41, 124, 62, 31, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890]"
8544,27,8544,"[8544, 4272, 2136, 1068, 534, 267, 802, 401, 1204, 602, 301, 904, 452, 226, 113, 340, 170, 85, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8545,128,32452,"[8545, 25636, 12818, 6409, 19228, 9614, 4807, 14422, 7211, 21634, 10817, 32452, 16226, 8113, 24340, 12170, 6085, 18256, 9128, 4564, 2282, 1141, 3424, 1712, 856, 428, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866]"
8546,66,12820,"[8546, 4273, 12820, 6410, 3205, 9616, 4808, 2404, 1202, 601, 1804, 902, 451, 1354, 677, 2032, 1016, 508, 254, 127, 382, 191, 574, 287, 862, 431, 1294, 647, 1942, 971, 2914, 1457, 4372, 2186, 1093, 3280, 1640, 820, 410, 205, 616, 308, 154, 77, 232, 116, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8547,66,38464,"[8547, 25642, 12821, 38464, 19232, 9616, 4808, 2404, 1202, 601, 1804, 902, 451, 1354, 677, 2032, 1016, 508, 254, 127, 382, 191, 574, 287, 862, 431, 1294, 647, 1942, 971, 2914, 1457, 4372, 2186, 1093, 3280, 1640, 820, 410, 205, 616, 308, 154, 77, 232, 116, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8548,66,8548,"[8548, 4274, 2137, 6412, 3206, 1603, 4810, 2405, 7216, 3608, 1804, 902, 451, 1354, 677, 2032, 1016, 508, 254, 127, 382, 191, 574, 287, 862, 431, 1294, 647, 1942, 971, 2914, 1457, 4372, 2186, 1093, 3280, 1640, 820, 410, 205, 616, 308, 154, 77, 232, 116, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8549,66,25648,"[8549, 25648, 12824, 6412, 3206, 1603, 4810, 2405, 7216, 3608, 1804, 902, 451, 1354, 677, 2032, 1016, 508, 254, 127, 382, 191, 574, 287, 862, 431, 1294, 647, 1942, 971, 2914, 1457, 4372, 2186, 1093, 3280, 1640, 820, 410, 205, 616, 308, 154, 77, 232, 116, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8550,66,19240,"[8550, 4275, 12826, 6413, 19240, 9620, 4810, 2405, 7216, 3608, 1804, 902, 451, 1354, 677, 2032, 1016, 508, 254, 127, 382, 191, 574, 287, 862, 431, 1294, 647, 1942, 971, 2914, 1457, 4372, 2186, 1093, 3280, 1640, 820, 410, 205, 616, 308, 154, 77, 232, 116, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8551,79,219184,"[8551, 25654, 12827, 38482, 19241, 57724, 28862, 14431, 43294, 21647, 64942, 32471, 97414, 48707, 146122, 73061, 219184, 109592, 54796, 27398, 13699, 41098, 20549, 61648, 30824, 15412, 7706, 3853, 11560, 5780, 2890, 1445, 4336, 2168, 1084, 542, 271, 814, 407, 1222, 611, 1834, 917, 2752, 1376, 688, 344, 172, 86, 43, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8552,27,8552,"[8552, 4276, 2138, 1069, 3208, 1604, 802, 401, 1204, 602, 301, 904, 452, 226, 113, 340, 170, 85, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8553,53,64960,"[8553, 25660, 12830, 6415, 19246, 9623, 28870, 14435, 43306, 21653, 64960, 32480, 16240, 8120, 4060, 2030, 1015, 3046, 1523, 4570, 2285, 6856, 3428, 1714, 857, 2572, 1286, 643, 1930, 965, 2896, 1448, 724, 362, 181, 544, 272, 136, 68, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8554,27,12832,"[8554, 4277, 12832, 6416, 3208, 1604, 802, 401, 1204, 602, 301, 904, 452, 226, 113, 340, 170, 85, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8555,53,38500,"[8555, 25666, 12833, 38500, 19250, 9625, 28876, 14438, 7219, 21658, 10829, 32488, 16244, 8122, 4061, 12184, 6092, 3046, 1523, 4570, 2285, 6856, 3428, 1714, 857, 2572, 1286, 643, 1930, 965, 2896, 1448, 724, 362, 181, 544, 272, 136, 68, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8556,79,61720,"[8556, 4278, 2139, 6418, 3209, 9628, 4814, 2407, 7222, 3611, 10834, 5417, 16252, 8126, 4063, 12190, 6095, 18286, 9143, 27430, 13715, 41146, 20573, 61720, 30860, 15430, 7715, 23146, 11573, 34720, 17360, 8680, 4340, 2170, 1085, 3256, 1628, 814, 407, 1222, 611, 1834, 917, 2752, 1376, 688, 344, 172, 86, 43, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8557,79,61720,"[8557, 25672, 12836, 6418, 3209, 9628, 4814, 2407, 7222, 3611, 10834, 5417, 16252, 8126, 4063, 12190, 6095, 18286, 9143, 27430, 13715, 41146, 20573, 61720, 30860, 15430, 7715, 23146, 11573, 34720, 17360, 8680, 4340, 2170, 1085, 3256, 1628, 814, 407, 1222, 611, 1834, 917, 2752, 1376, 688, 344, 172, 86, 43, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8558,79,61720,"[8558, 4279, 12838, 6419, 19258, 9629, 28888, 14444, 7222, 3611, 10834, 5417, 16252, 8126, 4063, 12190, 6095, 18286, 9143, 27430, 13715, 41146, 20573, 61720, 30860, 15430, 7715, 23146, 11573, 34720, 17360, 8680, 4340, 2170, 1085, 3256, 1628, 814, 407, 1222, 611, 1834, 917, 2752, 1376, 688, 344, 172, 86, 43, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8559,79,97504,"[8559, 25678, 12839, 38518, 19259, 57778, 28889, 86668, 43334, 21667, 65002, 32501, 97504, 48752, 24376, 12188, 6094, 3047, 9142, 4571, 13714, 6857, 20572, 10286, 5143, 15430, 7715, 23146, 11573, 34720, 17360, 8680, 4340, 2170, 1085, 3256, 1628, 814, 407, 1222, 611, 1834, 917, 2752, 1376, 688, 344, 172, 86, 43, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8560,27,8560,"[8560, 4280, 2140, 1070, 535, 1606, 803, 2410, 1205, 3616, 1808, 904, 452, 226, 113, 340, 170, 85, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8561,27,25684,"[8561, 25684, 12842, 6421, 19264, 9632, 4816, 2408, 1204, 602, 301, 904, 452, 226, 113, 340, 170, 85, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8562,128,14452,"[8562, 4281, 12844, 6422, 3211, 9634, 4817, 14452, 7226, 3613, 10840, 5420, 2710, 1355, 4066, 2033, 6100, 3050, 1525, 4576, 2288, 1144, 572, 286, 143, 430, 215, 646, 323, 970, 485, 1456, 728, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866]"
8563,128,38536,"[8563, 25690, 12845, 38536, 19268, 9634, 4817, 14452, 7226, 3613, 10840, 5420, 2710, 1355, 4066, 2033, 6100, 3050, 1525, 4576, 2288, 1144, 572, 286, 143, 430, 215, 646, 323, 970, 485, 1456, 728, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866]"
8564,27,8564,"[8564, 4282, 2141, 6424, 3212, 1606, 803, 2410, 1205, 3616, 1808, 904, 452, 226, 113, 340, 170, 85, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8565,27,25696,"[8565, 25696, 12848, 6424, 3212, 1606, 803, 2410, 1205, 3616, 1808, 904, 452, 226, 113, 340, 170, 85, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8566,128,21688,"[8566, 4283, 12850, 6425, 19276, 9638, 4819, 14458, 7229, 21688, 10844, 5422, 2711, 8134, 4067, 12202, 6101, 18304, 9152, 4576, 2288, 1144, 572, 286, 143, 430, 215, 646, 323, 970, 485, 1456, 728, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866]"
8567,128,57832,"[8567, 25702, 12851, 38554, 19277, 57832, 28916, 14458, 7229, 21688, 10844, 5422, 2711, 8134, 4067, 12202, 6101, 18304, 9152, 4576, 2288, 1144, 572, 286, 143, 430, 215, 646, 323, 970, 485, 1456, 728, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866]"
8568,172,10852,"[8568, 4284, 2142, 1071, 3214, 1607, 4822, 2411, 7234, 3617, 10852, 5426, 2713, 8140, 4070, 2035, 6106, 3053, 9160, 4580, 2290, 1145, 3436, 1718, 859, 2578, 1289, 3868, 1934, 967, 2902, 1451, 4354, 2177, 6532, 3266, 1633, 4900, 2450, 1225, 3676, 1838, 919, 2758, 1379, 4138, 2069, 6208, 3104, 1552, 776, 388, 194, 97, 292, 146, 73, 220, 110, 55, 166, 83, 250, 125, 376, 188, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890]"
8569,79,164752,"[8569, 25708, 12854, 6427, 19282, 9641, 28924, 14462, 7231, 21694, 10847, 32542, 16271, 48814, 24407, 73222, 36611, 109834, 54917, 164752, 82376, 41188, 20594, 10297, 30892, 15446, 7723, 23170, 11585, 34756, 17378, 8689, 26068, 13034, 6517, 19552, 9776, 4888, 2444, 1222, 611, 1834, 917, 2752, 1376, 688, 344, 172, 86, 43, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8570,172,12856,"[8570, 4285, 12856, 6428, 3214, 1607, 4822, 2411, 7234, 3617, 10852, 5426, 2713, 8140, 4070, 2035, 6106, 3053, 9160, 4580, 2290, 1145, 3436, 1718, 859, 2578, 1289, 3868, 1934, 967, 2902, 1451, 4354, 2177, 6532, 3266, 1633, 4900, 2450, 1225, 3676, 1838, 919, 2758, 1379, 4138, 2069, 6208, 3104, 1552, 776, 388, 194, 97, 292, 146, 73, 220, 110, 55, 166, 83, 250, 125, 376, 188, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890]"
8571,172,43396,"[8571, 25714, 12857, 38572, 19286, 9643, 28930, 14465, 43396, 21698, 10849, 32548, 16274, 8137, 24412, 12206, 6103, 18310, 9155, 27466, 13733, 41200, 20600, 10300, 5150, 2575, 7726, 3863, 11590, 5795, 17386, 8693, 26080, 13040, 6520, 3260, 1630, 815, 2446, 1223, 3670, 1835, 5506, 2753, 8260, 4130, 2065, 6196, 3098, 1549, 4648, 2324, 1162, 581, 1744, 872, 436, 218, 109, 328, 164, 82, 41, 124, 62, 31, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890]"
8572,172,32560,"[8572, 4286, 2143, 6430, 3215, 9646, 4823, 14470, 7235, 21706, 10853, 32560, 16280, 8140, 4070, 2035, 6106, 3053, 9160, 4580, 2290, 1145, 3436, 1718, 859, 2578, 1289, 3868, 1934, 967, 2902, 1451, 4354, 2177, 6532, 3266, 1633, 4900, 2450, 1225, 3676, 1838, 919, 2758, 1379, 4138, 2069, 6208, 3104, 1552, 776, 388, 194, 97, 292, 146, 73, 220, 110, 55, 166, 83, 250, 125, 376, 188, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890]"
8573,172,32560,"[8573, 25720, 12860, 6430, 3215, 9646, 4823, 14470, 7235, 21706, 10853, 32560, 16280, 8140, 4070, 2035, 6106, 3053, 9160, 4580, 2290, 1145, 3436, 1718, 859, 2578, 1289, 3868, 1934, 967, 2902, 1451, 4354, 2177, 6532, 3266, 1633, 4900, 2450, 1225, 3676, 1838, 919, 2758, 1379, 4138, 2069, 6208, 3104, 1552, 776, 388, 194, 97, 292, 146, 73, 220, 110, 55, 166, 83, 250, 125, 376, 188, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890]"
8574,128,97684,"[8574, 4287, 12862, 6431, 19294, 9647, 28942, 14471, 43414, 21707, 65122, 32561, 97684, 48842, 24421, 73264, 36632, 18316, 9158, 4579, 13738, 6869, 20608, 10304, 5152, 2576, 1288, 644, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866]"
8575,128,293056,"[8575, 25726, 12863, 38590, 19295, 57886, 28943, 86830, 43415, 130246, 65123, 195370, 97685, 293056, 146528, 73264, 36632, 18316, 9158, 4579, 13738, 6869, 20608, 10304, 5152, 2576, 1288, 644, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866]"
8576,35,8576,"[8576, 4288, 2144, 1072, 536, 268, 134, 67, 202, 101, 304, 152, 76, 38, 19, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8577,66,25732,"[8577, 25732, 12866, 6433, 19300, 9650, 4825, 14476, 7238, 3619, 10858, 5429, 16288, 8144, 4072, 2036, 1018, 509, 1528, 764, 382, 191, 574, 287, 862, 431, 1294, 647, 1942, 971, 2914, 1457, 4372, 2186, 1093, 3280, 1640, 820, 410, 205, 616, 308, 154, 77, 232, 116, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8578,79,12868,"[8578, 4289, 12868, 6434, 3217, 9652, 4826, 2413, 7240, 3620, 1810, 905, 2716, 1358, 679, 2038, 1019, 3058, 1529, 4588, 2294, 1147, 3442, 1721, 5164, 2582, 1291, 3874, 1937, 5812, 2906, 1453, 4360, 2180, 1090, 545, 1636, 818, 409, 1228, 614, 307, 922, 461, 1384, 692, 346, 173, 520, 260, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8579,79,38608,"[8579, 25738, 12869, 38608, 19304, 9652, 4826, 2413, 7240, 3620, 1810, 905, 2716, 1358, 679, 2038, 1019, 3058, 1529, 4588, 2294, 1147, 3442, 1721, 5164, 2582, 1291, 3874, 1937, 5812, 2906, 1453, 4360, 2180, 1090, 545, 1636, 818, 409, 1228, 614, 307, 922, 461, 1384, 692, 346, 173, 520, 260, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8580,79,8580,"[8580, 4290, 2145, 6436, 3218, 1609, 4828, 2414, 1207, 3622, 1811, 5434, 2717, 8152, 4076, 2038, 1019, 3058, 1529, 4588, 2294, 1147, 3442, 1721, 5164, 2582, 1291, 3874, 1937, 5812, 2906, 1453, 4360, 2180, 1090, 545, 1636, 818, 409, 1228, 614, 307, 922, 461, 1384, 692, 346, 173, 520, 260, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8581,79,25744,"[8581, 25744, 12872, 6436, 3218, 1609, 4828, 2414, 1207, 3622, 1811, 5434, 2717, 8152, 4076, 2038, 1019, 3058, 1529, 4588, 2294, 1147, 3442, 1721, 5164, 2582, 1291, 3874, 1937, 5812, 2906, 1453, 4360, 2180, 1090, 545, 1636, 818, 409, 1228, 614, 307, 922, 461, 1384, 692, 346, 173, 520, 260, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8582,79,19312,"[8582, 4291, 12874, 6437, 19312, 9656, 4828, 2414, 1207, 3622, 1811, 5434, 2717, 8152, 4076, 2038, 1019, 3058, 1529, 4588, 2294, 1147, 3442, 1721, 5164, 2582, 1291, 3874, 1937, 5812, 2906, 1453, 4360, 2180, 1090, 545, 1636, 818, 409, 1228, 614, 307, 922, 461, 1384, 692, 346, 173, 520, 260, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8583,79,57940,"[8583, 25750, 12875, 38626, 19313, 57940, 28970, 14485, 43456, 21728, 10864, 5432, 2716, 1358, 679, 2038, 1019, 3058, 1529, 4588, 2294, 1147, 3442, 1721, 5164, 2582, 1291, 3874, 1937, 5812, 2906, 1453, 4360, 2180, 1090, 545, 1636, 818, 409, 1228, 614, 307, 922, 461, 1384, 692, 346, 173, 520, 260, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8584,27,8584,"[8584, 4292, 2146, 1073, 3220, 1610, 805, 2416, 1208, 604, 302, 151, 454, 227, 682, 341, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8585,172,48904,"[8585, 25756, 12878, 6439, 19318, 9659, 28978, 14489, 43468, 21734, 10867, 32602, 16301, 48904, 24452, 12226, 6113, 18340, 9170, 4585, 13756, 6878, 3439, 10318, 5159, 15478, 7739, 23218, 11609, 34828, 17414, 8707, 26122, 13061, 39184, 19592, 9796, 4898, 2449, 7348, 3674, 1837, 5512, 2756, 1378, 689, 2068, 1034, 517, 1552, 776, 388, 194, 97, 292, 146, 73, 220, 110, 55, 166, 83, 250, 125, 376, 188, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890]"
8586,27,12880,"[8586, 4293, 12880, 6440, 3220, 1610, 805, 2416, 1208, 604, 302, 151, 454, 227, 682, 341, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8587,128,38644,"[8587, 25762, 12881, 38644, 19322, 9661, 28984, 14492, 7246, 3623, 10870, 5435, 16306, 8153, 24460, 12230, 6115, 18346, 9173, 27520, 13760, 6880, 3440, 1720, 860, 430, 215, 646, 323, 970, 485, 1456, 728, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866]"
8588,27,9664,"[8588, 4294, 2147, 6442, 3221, 9664, 4832, 2416, 1208, 604, 302, 151, 454, 227, 682, 341, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8589,27,25768,"[8589, 25768, 12884, 6442, 3221, 9664, 4832, 2416, 1208, 604, 302, 151, 454, 227, 682, 341, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8590,79,28996,"[8590, 4295, 12886, 6443, 19330, 9665, 28996, 14498, 7249, 21748, 10874, 5437, 16312, 8156, 4078, 2039, 6118, 3059, 9178, 4589, 13768, 6884, 3442, 1721, 5164, 2582, 1291, 3874, 1937, 5812, 2906, 1453, 4360, 2180, 1090, 545, 1636, 818, 409, 1228, 614, 307, 922, 461, 1384, 692, 346, 173, 520, 260, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8591,79,86992,"[8591, 25774, 12887, 38662, 19331, 57994, 28997, 86992, 43496, 21748, 10874, 5437, 16312, 8156, 4078, 2039, 6118, 3059, 9178, 4589, 13768, 6884, 3442, 1721, 5164, 2582, 1291, 3874, 1937, 5812, 2906, 1453, 4360, 2180, 1090, 545, 1636, 818, 409, 1228, 614, 307, 922, 461, 1384, 692, 346, 173, 520, 260, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8592,27,8592,"[8592, 4296, 2148, 1074, 537, 1612, 806, 403, 1210, 605, 1816, 908, 454, 227, 682, 341, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8593,27,25780,"[8593, 25780, 12890, 6445, 19336, 9668, 4834, 2417, 7252, 3626, 1813, 5440, 2720, 1360, 680, 340, 170, 85, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8594,27,21760,"[8594, 4297, 12892, 6446, 3223, 9670, 4835, 14506, 7253, 21760, 10880, 5440, 2720, 1360, 680, 340, 170, 85, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8595,27,38680,"[8595, 25786, 12893, 38680, 19340, 9670, 4835, 14506, 7253, 21760, 10880, 5440, 2720, 1360, 680, 340, 170, 85, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8596,27,8596,"[8596, 4298, 2149, 6448, 3224, 1612, 806, 403, 1210, 605, 1816, 908, 454, 227, 682, 341, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8597,27,25792,"[8597, 25792, 12896, 6448, 3224, 1612, 806, 403, 1210, 605, 1816, 908, 454, 227, 682, 341, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
8598,66,19348,"[8598, 4299, 12898, 6449, 19348, 9674, 4837, 14512, 7256, 3628, 1814, 907, 2722, 1361, 4084, 2042, 1021, 3064, 1532, 766, 383, 1150, 575, 1726, 863, 2590, 1295, 3886, 1943, 5830, 2915, 8746, 4373, 13120, 6560, 3280, 1640, 820, 410, 205, 616, 308, 154, 77, 232, 116, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8599,66,58048,"[8599, 25798, 12899, 38698, 19349, 58048, 29024, 14512, 7256, 3628, 1814, 907, 2722, 1361, 4084, 2042, 1021, 3064, 1532, 766, 383, 1150, 575, 1726, 863, 2590, 1295, 3886, 1943, 5830, 2915, 8746, 4373, 13120, 6560, 3280, 1640, 820, 410, 205, 616, 308, 154, 77, 232, 116, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
